ANATIDAE;;;;;;;
Hieraaetus pennatus;;Booted Eagle;Águila calzada;A;A;A;
Aquila nipalensis;¿orientalis?;Steppe Eagle;Águila esteparia;A;;;R1
Aquila adalberti;;Spanish Imperial Eagle;Águila imperial ibérica;A;A;;
Aquila heliaca;;Eastern Imperial Eagle;Águila imperial oriental;A;;;R1
Aquila chrysaetos;chrysaetos, homeyeri;Golden Eagle;Águila real;A;A;;
Aquila fasciata;fasciata;Bonelli's Eagle;Águila perdicera;A (i);A;A;
Accipiter nisus;nisus, punicus, granti;Eurasian Sparrowhawk;Gavilán común;A;A;A;
Accipiter gentilis;gentilis;Northern Goshawk;Azor común;A;A;A;
Circus aeruginosus;aeruginosus, harterti;Western Marsh Harrier;Aguilucho lagunero occidental;A;A;A;
Circus cyaneus;;Hen Harrier;Aguilucho pálido;A;A;A;
Circus macrourus;;Pallid Harrier;Aguilucho papialbo;A;A;A;
Circus pygargus;;Montagu's Harrier;Aguilucho cenizo;A;A;A;
Milvus milvus;milvus;Red Kite;Milano real;A;A;A;
Milvus migrans;migrans;Black Kite;Milano negro;A;A;A;
Haliaeetus albicilla;;White-tailed Eagle;Pigargo europeo;A;;;R1 / Tratada como monotípica siguiendo a Orta et al. (2018).
Buteo lagopus;lagopus;Rough-legged Buzzard;Busardo calzado;A;;;R2
Buteo rufinus;rufinus, cirtensis;Long-legged Buzzard;Busardo moro;A;A;A;R1 (ssp. rufinus), R2 (ssp. cirtensis y ssp. sin especificar, excepto territorios del norte de África).
Buteo buteo;insularum, buteo, vulpinus;Common Buzzard;Busardo ratonero;A;A;A;R1 (solo ssp. vulpinus).
OTIDIDAE;;;;;;;
Otis tarda;tarda;Great Bustard;Avutarda euroasiática;A;;;
Chlamydotis undulata;fuertaventurae;Houbara Bustard;Avutarda hubara africana;;;A;
Tetrax tetrax;;Little Bustard;Sisón común;A;;;
RALLIDAE;;;;;;;
Rallus aquaticus;aquaticus;Water Rail;Rascón europeo;A;A;A;
Crex egregia;;African Crake;Guión africano;A;;A;R1
Crex crex;;Corn Crake;Guión de codornices;A;A;A;R2
Porzana parva;;Little Crake;Polluela bastarda;A;;A;/ HBW/BirdLife v3 la asigna al género Zapornia (Z. parva).
Porzana pusilla;intermedia;Baillon's Crake;Polluela chica;A;A;A;/  HBW/BirdLife v3 la asigna al género Zapornia (Z. pusilla).
Porzana porzana;;Spotted Crake;Polluela pintoja;A;A;A;
Porzana carolina;;Sora;Polluela sora;A;;;R1
Porzana marginalis;;Striped Crake;Polluela culirroja;A;;;R1 / Asignada al género Aenigmatolimnas o al género Amaurornis,por IOC v9.1 y HBW/BirdLife v3 respectivamente.
Porphyrio porphyrio;porphyrio, madagascarensis;Purple Swamphen;Calamón común;A ;A;A;R1 (solo ssp. madagascarensis) / Taxón madagascarensis  considerado  especie (P. madagascariensis) por IOC v9.1 –nótese el cambio ortográfico–.
Porphyrio alleni;;Allen's Gallinule;Calamoncillo africano;A;A;A;R2
Porphyrio martinicus;;Purple Gallinule;Calamoncillo americano;;;A;R1 / Escrito martinicus, siguiendo a David & Gosselin (2011). Viene como P. martinica en IOC v9.1.
Gallinula chloropus;chloropus;Common Moorhen;Gallineta común;A;A;A;
Gallinula angulata;;Lesser Moorhen;Gallineta chica;A;;;R1 / IOC v9.1 la asigna al género Paragallinula (P. angulata).
Fulica cristata;;Red-knobbed Coot;Focha moruna;A (i);;;
Fulica atra;atra;Eurasian Coot;Focha común;A;A;A;
Fulica americana;americana;American Coot;Focha americana;A;;;R1
GRUIDAE;;;;;;;
Antigone canadensis;ASD;Sandhill Crane;Grulla canadiense;A;;;R1
Grus virgo;;Demoiselle Crane;Grulla damisela;B (i);;;R1 (citas recientes consideradas de procedencia desconocida). /  Incluida en género Anthropoides (A. virgo) por HBW/BirdLife v3.
Grus grus;;Common Crane;Grulla común;A;A;A;
TURNICIDAE;;;;;;;
Turnix sylvaticus;sylvaticus;Common Buttonquail;Torillo andaluz;A;;;/ Especie desaparecida de España.
BURHINIDAE;;;;;;;
Burhinus oedicnemus;oedicnemus, distinctus, insularum, saharae;Eurasian Stone-curlew;Alcaraván común;A;A;A;
HAEMATOPODIDAE;;;;;;;
Haematopus meadewaldoi †;;Canary Islands Oystercatcher;Ostrero negro canario;;;B;/ Extinguida.
Haematopus ostralegus;ostralegus;Eurasian Oystercatcher;Ostrero euroasiático;A;A;A;
RECURVIROSTRIDAE;;;;;;;
Himantopus himantopus;;Black-winged Stilt;Cigüeñuela común;A;A;A;
Recurvirostra avosetta;;Pied Avocet;Avoceta común;A;A;A;
CHARADRIIDAE;;;;;;;
Vanellus vanellus;;Northern Lapwing;Avefría europea;A;A;A;
Vanellus gregarius;;Sociable Lapwing;Avefría sociable;A;;A;R2
Pluvialis apricaria;;European Golden Plover;Chorlito dorado europeo;A;A;A;
Pluvialis fulva;;Pacific Golden Plover;Chorlito dorado siberiano;A;;;R1
Pluvialis dominica;;American Golden Plover;Chorlito dorado americano;A;;A;R2
Pluvialis squatarola;squatarola;Grey Plover;Chorlito gris;A;A;A;
Charadrius hiaticula;psammodromus, hiaticula, ¿tundrae?;Common Ringed Plover;Chorlitejo grande;A;A;A;
Charadrius semipalmatus;;Semipalmated Plover;Chorlitejo semipalmeado;A;;A;R1
Charadrius dubius;curonicus;Little Ringed Plover;Chorlitejo chico;A;A;A;
Charadrius vociferus;vociferus;Killdeer;Chorlitejo culirrojo;A;;;R1
Charadrius pecuarius;;Kittlitz's Plover;Chorlitejo pecuario;A;;;R1
Charadrius alexandrinus;alexandrinus;Kentish Plover;Chorlitejo patinegro;A;A;A;
Charadrius mongolus;mongolus/stegmanni, atrifrons/pamirensis/schafaeri;Lesser Sand Plover;Chorlitejo mongol chico;A;;A;R1
Charadrius leschenaultii;ASD;Greater Sand Plover;Chorlitejo mongol grande;A;;;R1
Charadrius morinellus;;Eurasian Dotterel;Chorlito carambolo;A;A;A;/ HBW/BirdLife v3 lo asigna al género Eudromias (E. morinellus). 
PLUVIANIDAE;;;;;;;
Pluvianus aegyptius;;Egyptian Plover;Pluvial;D;;B;R1
SCOLOPACIDAE;;;;;;;
Bartramia longicauda;;Upland Sandpiper;Correlimos batitú;A;;A;R1
Numenius phaeopus;islandicus, phaeopus, hudsonicus;Whimbrel;Zarapito trinador;A;A;A;R1 (solo ssp. hudsonicus).
Numenius tenuirostris;;Slender-billed Curlew;Zarapito fino;B;;;/ Posiblemente extinguida.
Numenius arquata;arquata, ¿orientalis?;Eurasian Curlew;Zarapito real;A;A;A;
Limosa lapponica;lapponica;Bar-tailed Godwit;Aguja colipinta;A;A;A;
Limosa limosa;islandica, limosa;Black-tailed Godwit;Aguja colinegra;A;A;A;
Arenaria interpres;interpres;Ruddy Turnstone;Vuelvepiedras común;A;A;A;
Calidris tenuirostris;;Great Knot;Correlimos grande;A;;;R1
Calidris canutus;canutus, islandica;Red Knot;Correlimos gordo;A;;A;
Calidris pugnax;;Ruff;Combatiente;A;;A;
Calidris falcinellus;falcinellus;Broad-billed Sandpiper;Correlimos falcinelo;A;;;R2
Calidris acuminata;;Sharp-tailed Sandpiper;Correlimos acuminado;A;;;R1
Calidris himantopus;;Stilt Sandpiper;Correlimos zancolín;A;;;R1
Calidris ferruginea;;Curlew Sandpiper;Correlimos zarapitín;A;A;A;
Calidris temminckii;;Temminck's Stint;Correlimos de Temminck;A;;A;
Calidris ruficollis;;Red-necked Stint;Correlimos cuellirrojo;A;;;R1
Calidris alba;alba;Sanderling;Correlimos tridáctilo;A;A;A;
Calidris alpina;arctica, schinzii, alpina;Dunlin;Correlimos común;A;A;A;
Calidris maritima;;Purple Sandpiper;Correlimos oscuro;A;A;A;
Calidris bairdii;;Baird's Sandpiper;Correlimos de Baird;A;;A;R2
Calidris minuta;;Little Stint;Correlimos menudo;A;A;A;
Calidris minutilla;;Least Sandpiper;Correlimos menudillo;A;;A;R1
Calidris fuscicollis;;White-rumped Sandpiper;Correlimos culiblanco;A;;A;R2
Calidris subruficollis;;Buff-breasted Sandpiper;Correlimos canelo;A;;A;
Calidris melanotos;;Pectoral Sandpiper;Correlimos pectoral;A;;A;
Calidris pusilla;;Semipalmated Sandpiper;Correlimos semipalmeado;A;;A;R2
Calidris mauri;;Western Sandpiper;Correlimos de Alaska;A;;;R1
Limnodromus scolopaceus;;Long-billed Dowitcher;Agujeta escolopácea;A;;A;R2
Limnodromus griseus;ASD;Short-billed Dowitcher;Agujeta gris;A;;;R1
Scolopax rusticola;;Eurasian Woodcock;Chocha perdiz;A;A;A;
Lymnocryptes minimus;;Jack Snipe;Agachadiza chica;A;;A;
Gallinago media;;Great Snipe;Agachadiza real;A;;;R2
Gallinago gallinago;gallinago;Common Snipe;Agachadiza común;A;A;A;
Gallinago delicata;;Wilson's Snipe;Agachadiza de Wilson;;;A;R1
Xenus cinereus;;Terek Sandpiper;Andarríos del Terek;A;;A;R2
Phalaropus tricolor;;Wilson's Phalarope;Falaropo tricolor;A;;A;R2 / Asignada al género Steganopus (S. tricolor) por HBW/BirdLife v3.
Phalaropus lobatus;;Red-necked Phalarope;Falaropo picofino;A;;A;
Phalaropus fulicarius;;Red Phalarope;Falaropo picogrueso;A;;A;
Actitis hypoleucos;;Common Sandpiper;Andarríos chico;A;A;A;
Actitis macularius;;Spotted Sandpiper;Andarríos maculado;A;;A;R2
Tringa ochropus;;Green Sandpiper;Andarríos grande;A;A;A;
Tringa solitaria;solitaria;Solitary Sandpiper;Andarríos solitario;A;;;R1
Tringa flavipes;;Lesser Yellowlegs;Archibebe patigualdo chico;A;;A;R2
Tringa totanus;totanus, ¿robusta?;Common Redshank;Archibebe común;A;A;A;
Tringa stagnatilis;;Marsh Sandpiper;Archibebe fino;A;;A;
Tringa glareola;;Wood Sandpiper;Andarríos bastardo;A;;A;
Tringa erythropus;;Spotted Redshank;Archibebe oscuro;A;A;A;
Tringa nebularia;;Common Greenshank;Archibebe claro;A;;A;
Tringa melanoleuca;;Greater Yellowlegs;Archibebe patigualdo grande;A;;A;R1
GLAREOLIDAE;;;;;;;
Cursorius cursor;cursor;Cream-colored Courser;Corredor sahariano;A;A;A;R2 (excepto Canarias y territorios norteafricanos).
Glareola pratincola;pratincola;Collared Pratincole;Canastera común;A;A;A;
Glareola nordmanni;;Black-winged Pratincole;Canastera alinegra;A;;;R1
LARIDAE;;;;;;;
Rissa tridactyla;tridactyla;Black-legged Kittiwake;Gaviota tridáctila;A;A;A;
Xema sabini;;Sabine's Gull;Gaviota de Sabine;A;;A;
Chroicocephalus genei;;Slender-billed Gull;Gaviota picofina;A;A;A;/Asignada al género Larus (L. genei) por HBW/BirdLife v3.
Chroicocephalus philadelphia;;Bonaparte's Gull;Gaviota de Bonaparte;A;;A;R2 / Asignada al género Larus (L. philadelphia) por HBW/BirdLife v3. 
Chroicocephalus ridibundus;;Black-headed Gull;Gaviota reidora;A;A;A;/ Asignada al género Larus (L. ridibundus) por HBW/BirdLife v3.
Chroicocephalus cirrocephalus;¿poiocephalus?;Grey-headed Gull;Gaviota cabecigrís;A;;A;R1 /  Asignada al género Larus (L. cirrocephalus) por HBW/BirdLife v3.
Hydrocoloeus minutus;;Little Gull;Gaviota enana;A;A;A;
Rhodostethia rosea;;Ross's Gull;Gaviota rosada;A;;;R1
Larus atricilla;ASD;Laughing Gull;Gaviota guanaguanare;A;;A;R2 / Asignada al género Leucophaeus (L. atricilla) por IOC v9.1.
Larus pipixcan;;Franklin's Gull;Gaviota pipizcán;A;;A;R2 / Asignada al género Leucophaeus (L. pipixcan ) por  IOC v9.1.
Larus audouinii;;Audouin's Gull;Gaviota de Audouin;A;A;A;/ Asignada al género Ichthyaetus (I. audouinii) por  IOC v9.1.
Larus melanocephalus;;Mediterranean Gull;Gaviota cabecinegra;A;A;A;/ Asignada al género Ichthyaetus (I. melanocephalus) por  IOC v9.1.
Larus ichthyaetus;;Pallas's Gull;Gavión cabecinegro;A;;;R1 / Asignada al género Ichthyaetus (I. ichthyaetus) por  IOC v9.1.
Larus canus;canus;Mew Gull;Gaviota cana;A;A;A;
Larus delawarensis;;Ring-billed Gull;Gaviota de Delaware;A;A;A;
Larus marinus;;Great Black-backed Gull;Gavión atlántico;A;A;A;
Larus dominicanus;vetula;Kelp Gull;Gaviota cocinera;A;;;R1
Larus glaucescens;;Glaucous-winged Gull;Gaviota de Bering;;;A;R1
Larus hyperboreus;hyperboreus;Glaucous Gull;Gavión hiperbóreo;A;A;A;
Larus glaucoides;kumlieni, glaucoides, thayeri;Iceland Gull;Gaviota groenlandesa;A;A;A;R1 (ssp. thayeri), R2 (ssp. kumlieni) / Para HBW/BirdLife v3,  «kumlieni» sería una población híbrida entre las sspp. glaucoides y thayeri.
Larus argentatus;argenteus, argentatus;European Herring Gull;Gaviota argéntea europea;A;;;
Larus smithsonianus;;American Herring Gull;Gaviota argéntea americana;A;;;R1
Larus cachinnans;;Caspian Gull;Gaviota del Caspio;A;;;
Larus michahellis;atlantis, michaellis;Yellow-legged Gull;Gaviota patiamarilla;A;A;A;R1 (solo ssp. atlantis, excepto Canarias).
Larus fuscus;graellsii, intermedius, fuscus;Lesser Black-backed Gull;Gaviota sombría;A;A;A;R1 (solo ssp. fuscus).
Gelochelidon nilotica;nilotica;Gull-billed Tern;Pagaza piconegra;A;A;A;
Hydroprogne caspia;;Caspian Tern;Pagaza piquirroja;A;A;A;
Thalasseus maximus;maximus, albididorsalis;Royal Tern;Charrán real;A;A;A;R2
Thalasseus bengalensis;emigratus;Lesser Crested Tern;Charrán bengalí;A;A;A;
Thalasseus sandvicensis;;Sandwich Tern;Charrán patinegro;A;A;A;
Thalasseus elegans;;Elegant Tern;Charrán elegante;A;;;R2
Sternula albifrons;albifrons;Little Tern;Charrancito común;A;A;A;
Onychoprion anaethetus;ASD;Bridled Tern;Charrán embridado;A;;;R1
Onychoprion fuscatus;ASD;Sooty Tern;Charrán sombrío;A;;A;R1
Sterna dougallii;dougallii;Roseate Tern;Charrán rosado;A;;A;
Sterna hirundo;hirundo;Common Tern;Charrán común;A;A;A;
Sterna paradisaea;;Arctic Tern;Charrán ártico;A;;A;
Sterna forsteri;;Forster's Tern;Charrán de Forster;A;;;R1
Chlidonias hybrida;hybrida;Whiskered Tern;Fumarel cariblanco;A;A;A;
Chlidonias leucopterus;;White-winged Tern;Fumarel aliblanco;A;;A;
Chlidonias niger;niger;Black Tern;Fumarel común;A;A;A;
STERCORARIIDAE;;;;;;;
Stercorarius maccormicki;;South Polar Skua;Págalo polar;A;;A;R1 / Asignada al género Catharacta (C. maccormicki) por HBW/BirdLife v3.
Stercorarius skua;;Great Skua;Págalo grande;A;A;A;Asignada al género Catharacta (C. skua) por HBW/BirdLife v3.
Stercorarius pomarinus;;Pomarine Jaeger;Págalo pomarino;A;A;A;
Stercorarius parasiticus;;Parasitic Jaeger;Págalo parásito;A;A;A;
Stercorarius longicaudus;longicaudus;Long-tailed Jaeger;Págalo rabero;A;;A;
ALCIDAE;;;;;;;
Alle alle;alle;Little Auk;Mérgulo atlántico;A;;A;R2
Uria aalge;aalge, albionis;Common Murre;Arao común;A;A;A;
Alca torda;islandica;Razorbill;Alca común;A;A;;
Cepphus grylle;ASD;Black Guillemot;Arao aliblanco;A;;;R1
Fratercula arctica;;Atlantic Puffin;Frailecillo atlántico;A;A;A;
PTEROCLIDAE;;;;;;;
Syrrhaptes paradoxus;;Pallas's Sandgrouse;Ganga de Pallas;B;;;
Pterocles alchata;alchata, caudacutus;Pin-tailed Sandgrouse;Ganga ibérica;A;A;;
Pterocles orientalis;orientalis;Black-bellied Sandgrouse;Ganga ortega;A;;A;
COLUMBIDAE;;;;;;;
Columba livia;livia;Rock Dove;Paloma bravía;A (i);A (i);A (i);
Columba oenas;oenas;Stock Dove;Paloma zurita;A;;;
